wick_idx,date,time_et,direction,wick_pct,extreme,wick_close,entry,entry_price,entry_kind,target_dist_dollar,target_dist_pct,touched_target,touched_day,peak_mfe_dollar,peak_mfe_pct,peak_mfe_day,peak_mae_dollar,peak_mae_pct,rsi_1m_at_wick,stochrsi_1m_at_wick,rsi_5m_at_wick,atr_1m_at_wick,wick_atr_ratio,vwap_at_wick,dist_vwap_pct_at_wick
5,2025-12-18,15:42,down,1.4424,600.41,609.2,E1,608.09,session_close,8.790000000000077,1.4455097107336212,False,,0.37000000000000455,0.06084625631074422,0,17.424999999999955,2.8655297735532494,44.03174253279052,55.70448013753806,30.494141056820624,1.5216142857142765,5.776759644362746,610.3632263030838,-0.1905793555305312
5,2025-12-18,15:42,down,1.4424,600.41,609.2,E2,611.95,next_open,8.790000000000077,1.4363918620802478,False,,1.8000000000000682,0.29414167824169757,8,13.56499999999994,2.2166843696380325,44.03174253279052,55.70448013753806,30.494141056820624,1.5216142857142765,5.776759644362746,610.3632263030838,-0.1905793555305312
6,2025-12-19,10:38,up,1.4274,622.82,614.06,E1,616.2188,1h_after,8.760000000000105,1.4215729867378446,True,3.0,9.296199999999999,1.5085875341680584,4,7.108799999999974,1.153616215539022,,,,,,613.5689888601712,0.08002541665948525
6,2025-12-19,10:38,up,1.4274,622.82,614.06,E2,621.35,next_open,8.760000000000105,1.409833427214952,True,2.0,4.164999999999964,0.6703146374828942,3,11.200000000000045,1.8025267562565455,,,,,,613.5689888601712,0.08002541665948525
7,2025-12-19,14:03,down,1.2755,609.11,617.04,E1,616.9,1h_after,7.92999999999995,1.2854595558437267,False,,6.75,1.0941805803209597,8,8.615000000000009,1.3964986221429745,53.15975733063412,12.802055679437137,67.48553335517116,0.7966928571428541,9.953647668486665,615.7128566709687,0.21554582053181004
7,2025-12-19,14:03,down,1.2755,609.11,617.04,E2,621.35,next_open,7.92999999999995,1.2762533193852015,False,,11.200000000000045,1.8025267562565455,7,4.164999999999964,0.6703146374828942,53.15975733063412,12.802055679437137,67.48553335517116,0.7966928571428541,9.953647668486665,615.7128566709687,0.21554582053181004
8,2026-01-02,12:11,up,1.139,619.44,611.38,E1,612.3332,1h_after,8.06000000000006,1.3162768244478755,True,1.0,17.666799999999967,2.8851612161483264,9,2.183200000000056,0.35653791105889016,27.384648324589804,84.4838222686565,17.289891658777748,1.4153857142857273,5.69456079614844,617.3730225154654,-0.9707295746495488
8,2026-01-02,12:11,up,1.139,619.44,611.38,E2,619.32,next_open,8.06000000000006,1.3014273719563487,True,0.0,10.67999999999995,1.724472001550079,8,4.760000000000105,0.7685848995672842,27.384648324589804,84.4838222686565,17.289891658777748,1.4153857142857273,5.69456079614844,617.3730225154654,-0.9707295746495488
9,2026-01-07,12:55,down,1.0375,620.425,627.0545,E1,627.35,1h_after,6.629500000000007,1.056746632661195,True,0.0,25.31000000000006,4.034430541165228,0,2.6499999999999773,0.42241173188809716,81.52042311858429,52.78458624234827,75.19754321797183,0.8217999999999961,8.067047943538622,624.9760913669772,0.33255810289906046
9,2026-01-07,12:55,down,1.0375,620.425,627.0545,E2,623.03,next_open,6.629500000000007,1.0640739611254688,True,0.0,15.980000000000018,2.5648845159944176,7,6.970000000000027,1.1187262250613978,81.52042311858429,52.78458624234827,75.19754321797183,0.8217999999999961,8.067047943538622,624.9760913669772,0.33255810289906046
