time,open,high,low,close,volume
2026-05-27,57.6600,57.6600,57.6600,57.6600,0
2026-05-28,38.3300,38.3300,38.3300,38.3300,0
2026-05-29,47.6200,47.6200,47.6200,47.6200,0
2026-06-01,47.6000,47.6000,47.6000,47.6000,0
2026-06-02,52.6000,52.6000,52.6000,52.6000,0
2026-06-03,56.4100,56.4100,56.4100,56.4100,0
2026-06-04,47.2500,47.2500,47.2500,47.2500,0
2026-06-05,58.0300,58.0300,58.0300,58.0300,0
2026-06-08,58.4800,58.4800,58.4800,58.4800,0
2026-06-09,54.7100,54.7100,54.7100,54.7100,0
2026-06-10,57.6800,57.6800,57.6800,57.6800,0
2026-06-11,52.9800,52.9800,52.9800,52.9800,0
2026-06-12,48.0600,48.0600,48.0600,48.0600,0
2026-06-15,52.7600,52.7600,52.7600,52.7600,0
2026-06-16,60.3000,60.3000,60.3000,60.3000,0
2026-06-17,50.5100,50.5100,50.5100,50.5100,0
2026-06-18,47.2200,47.2200,47.2200,47.2200,0
2026-06-22,34.6700,34.6700,34.6700,34.6700,0
2026-06-23,49.7800,49.7800,49.7800,49.7800,0
2026-06-24,54.2800,54.2800,54.2800,54.2800,0
2026-06-25,57.2200,57.2200,57.2200,57.2200,0
2026-06-26,58.0700,58.0700,58.0700,58.0700,0
2026-06-29,59.3100,59.3100,59.3100,59.3100,0
2026-06-30,50.9200,50.9200,50.9200,50.9200,0
2026-07-01,52.8000,52.8000,52.8000,52.8000,0
2026-07-02,45.8000,45.8000,45.8000,45.8000,0
2026-07-06,49.1500,49.1500,49.1500,49.1500,0
2026-07-07,60.1000,60.1000,60.1000,60.1000,0
2026-07-08,51.5800,51.5800,51.5800,51.5800,0
2026-07-09,60.7300,60.7300,60.7300,60.7300,0
2026-07-10,45.3200,45.3200,45.3200,45.3200,0
2026-07-13,54.4700,54.4700,54.4700,54.4700,0
2026-07-14,45.4800,45.4800,45.4800,45.4800,0
2026-07-15,43.2500,43.2500,43.2500,43.2500,0
2026-07-16,53.6600,53.6600,53.6600,53.6600,0
2026-07-17,59.7700,59.7700,59.7700,59.7700,0
2026-07-20,59.8400,59.8400,59.8400,59.8400,0
2026-07-21,50.7500,50.7500,50.7500,50.7500,0
2026-07-22,54.0900,54.0900,54.0900,54.0900,0
2026-07-23,58.6100,58.6100,58.6100,58.6100,0
2026-07-24,43.8700,43.8700,43.8700,43.8700,0
2026-07-27,67.4400,67.4400,67.4400,67.4400,0
2026-07-28,51.4300,51.4300,51.4300,51.4300,0
2026-07-29,61.2800,61.2800,61.2800,61.2800,0
2026-07-30,43.9300,43.9300,43.9300,43.9300,0
2026-07-31,55.7600,55.7600,55.7600,55.7600,0
2026-08-03,56.4500,56.4500,56.4500,56.4500,0
2026-08-04,49.2200,49.2200,49.2200,49.2200,0
2026-08-05,59.9500,59.9500,59.9500,59.9500,0
2026-08-06,60.0600,60.0600,60.0600,60.0600,0
2026-08-07,58.6500,58.6500,58.6500,58.6500,0
2026-08-10,65.5200,65.5200,65.5200,65.5200,0
2026-08-11,50.7400,50.7400,50.7400,50.7400,0
