method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2026-04-29T15:16:00-04:00,2026-04-29,15:16,138.085,141.18,137.8721,137.95,46115,0.0978,2.2425,22.93,up,141.18,True,2
trade,2026-04-29T15:29:00-04:00,2026-04-29,15:29,137.8,137.8936,130.9126,137.775,30516,0.0181,4.9804,274.5,down,130.9126,True,10
trade,2026-04-30T15:18:00-04:00,2026-04-30,15:18,139.72,139.74,137.97,139.535,35924,0.1325,1.1208,8.46,down,137.97,True,3
trade,2026-05-01T11:38:00-04:00,2026-05-01,11:38,144.46,146.99,144.1562,144.3758,63256,0.0583,1.7519,30.05,up,146.99,True,0
trade,2026-05-01T13:19:00-04:00,2026-05-01,13:19,144.84,144.89,143.25,144.7863,26402,0.0371,1.0609,28.61,down,143.25,True,0
trade,2026-05-01T13:31:00-04:00,2026-05-01,13:31,144.77,160.13,144.75,144.82,25397,0.0345,10.5736,306.2,up,160.13,False,
trade,2026-05-01T14:15:00-04:00,2026-05-01,14:15,144.6079,150.07,144.28,144.3372,76089,0.1874,3.7807,20.18,up,150.07,False,
trade,2026-05-01T15:16:00-04:00,2026-05-01,15:16,144.3936,144.46,139.11,144.1899,59818,0.1412,3.5206,24.94,down,139.11,True,2
trade,2026-05-04T12:53:00-04:00,2026-05-04,12:53,146.84,150.68,146.74,146.7578,43994,0.056,2.6158,46.72,up,150.68,False,
trade,2026-05-04T13:58:00-04:00,2026-05-04,13:58,148.29,148.3223,145.5119,148.22,83434,0.0472,1.8267,38.69,down,145.5119,True,0
trade,2026-05-04T14:04:00-04:00,2026-05-04,14:04,148.235,149,148.15,148.172,127041,0.0425,0.5162,12.14,up,149,False,
trade,2026-05-04T15:15:00-04:00,2026-05-04,15:15,147.335,147.5794,144.07,147.2001,144473,0.0916,2.1255,23.2,down,144.07,True,1
trade,2026-05-05T09:37:00-04:00,2026-05-05,09:37,142.25,142.99,140.78,142.17,606727,0.0563,0.5204,9.25,up,142.99,True,0
trade,2026-05-05T10:22:00-04:00,2026-05-05,10:22,138.9899,146.49,138.81,138.96,214525,0.0215,5.3967,250.84,up,146.49,True,0
trade,2026-05-05T12:00:00-04:00,2026-05-05,12:00,136.37,147.74,136.25,136.275,131112,0.0697,8.3405,119.68,up,147.74,False,
trade,2026-05-05T12:40:00-04:00,2026-05-05,12:40,135.28,147.61,135.2,135.245,91514,0.0259,9.1156,352.29,up,147.61,False,
trade,2026-05-05T14:10:00-04:00,2026-05-05,14:10,136.4749,143.3722,136.3576,136.615,89732,0.1026,4.9487,48.23,up,143.3722,True,0
trade,2026-05-05T14:37:00-04:00,2026-05-05,14:37,135.7888,136.936,135.64,135.64,83727,0.1096,0.8453,7.71,up,136.936,True,0
trade,2026-05-05T15:04:00-04:00,2026-05-05,15:04,135.085,147.56,135.05,135.14,86466,0.0407,9.1923,225.82,up,147.56,False,
trade,2026-05-06T14:20:00-04:00,2026-05-06,14:20,134.1664,134.28,126.9418,134.21,63802,0.0325,5.3839,165.7,down,126.9418,False,
trade,2026-05-07T12:33:00-04:00,2026-05-07,12:33,138.575,154.96,138.4015,138.72,77316,0.1046,11.7132,112.0,up,154.96,False,
