date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-10-09,AMD,52880187.0,34193929.0,64.66,92.0595,1935517,31478763,779649,0,141598.0,45.432,1.9491
2025-10-10,AMD,62906946.0,35987287.0,57.21,91.2725,2391362,32846485,749440,0,149925.0,45.629,1.0388
2025-10-13,AMD,32148056.0,17352643.0,53.98,91.7483,1019778,15920750,412115,0,44297.0,45.64,0.6639
2025-10-14,AMD,37590985.0,23621466.0,62.84,93.366,1109617,22054427,457422,0,58826.0,46.143,1.6989
2025-10-15,AMD,62532413.0,36907151.0,59.02,92.1928,1996922,34025731,884498,0,97587.0,46.4645,1.1909
2025-10-16,AMD,40353227.0,23509701.0,58.26,92.4929,1231464,21744797,533440,0,131567.0,46.88,1.0652
2025-10-17,AMD,31238665.0,16745833.0,53.61,86.2785,1913221,14448047,384565,0,118824.0,47.017,0.4738
2025-10-20,AMD,17929644.0,9596246.0,53.52,91.5462,525497,8784998,285751,0,11515.0,47.873,0.4479
2025-10-21,AMD,26481353.0,11014009.0,41.59,91.1452,665064,10038745,310200,0,65409.0,48.1535,-1.0379
2025-10-22,AMD,33263084.0,13942931.0,41.92,92.5363,635261,12902277,405393,0,119098.0,48.396,-1.011
2025-10-23,AMD,20083968.0,8859892.0,44.11,91.7119,496375,8125578,237939,0,43739.0,48.8325,-0.7439
2025-10-24,AMD,36754109.0,13346171.0,36.31,91.2159,813225,12173831,359115,0,63903.0,48.8305,-1.6929
2025-10-27,AMD,33161764.0,13916485.0,41.97,91.284,801557,12703525,411403,0,48719.0,49.1535,-0.9975
2025-10-28,AMD,26255046.0,10529493.0,40.1,91.5015,634923,9634647,259923,0,46192.0,49.28,-1.1887
2025-10-29,AMD,24946481.0,12265100.0,49.17,88.7551,1005047,10885906,374147,0,33725.0,49.8685,-0.0404
2025-10-30,AMD,22518535.0,10452546.0,46.42,92.6032,547067,9679389,226090,0,22576.0,50.196,-0.3657
2025-10-31,AMD,18099355.0,7701934.0,42.55,84.5857,995553,6514731,191650,0,13497.0,50.36,-0.8355
2025-11-03,AMD,17593963.0,7696701.0,43.75,90.9413,460133,6999483,237085,0,25323.0,50.248,-0.6639
2025-11-04,AMD,23294552.0,9296213.0,39.91,87.8538,803760,8167080,325373,0,56693.0,49.4905,-1.117
2025-11-05,AMD,32614826.0,14228469.0,43.63,83.7146,1938691,11911310,378468,0,38873.0,48.7265,-0.6344
2025-11-06,AMD,34078078.0,18434069.0,54.09,93.0853,716434,17159404,558231,0,82056.0,48.198,0.6617
2025-11-07,AMD,25124069.0,8480444.0,33.75,90.7721,492333,7697876,290235,0,100335.0,47.025,-1.7888
2025-11-10,AMD,20104321.0,8555071.0,42.55,93.5399,284834,8002403,267834,0,80362.0,46.4535,-0.7047
2025-11-11,AMD,31389806.0,16977904.0,54.09,92.8205,706431,15758981,512492,0,73045.0,46.016,0.7107
2025-11-12,AMD,59379814.0,24327226.0,40.97,90.8129,1273618,22092267,961341,0,120451.0,45.1135,-0.8683
2025-11-13,AMD,34800414.0,16247559.0,46.69,92.3607,742235,15006359,498965,0,79988.0,44.535,-0.1675
2025-11-14,AMD,26304469.0,11078952.0,42.12,93.0366,422342,10307484,349126,0,31749.0,43.9605,-0.713
2025-11-17,AMD,20516578.0,11245001.0,54.81,93.1975,492010,10480062,272929,0,23478.0,44.025,0.799
2025-11-18,AMD,24842186.0,12023975.0,48.4,92.0922,620727,11073141,330107,0,64087.0,44.3655,0.0285
2025-11-19,AMD,27491230.0,13500170.0,49.11,93.359,651067,12603621,245482,0,78536.0,44.725,0.1419
2025-11-20,AMD,33045730.0,14086450.0,42.63,90.4035,929053,12734640,422757,0,59807.0,44.651,-0.6588
2025-11-21,AMD,34185163.0,11691215.0,34.2,91.219,621532,10664606,405077,0,62422.0,44.5455,-1.6343
2025-11-24,AMD,19861350.0,9292747.0,46.79,90.6487,589761,8423754,279232,0,32917.0,44.7865,-0.0855
2025-11-25,AMD,38239697.0,18235606.0,47.69,92.2591,845945,16824006,565655,0,80509.0,45.166,0.0309
2025-11-26,AMD,22131378.0,9748438.0,44.05,92.0538,387479,8973807,387152,0,39960.0,44.91,-0.3918
2025-11-28,AMD,9385210.0,3964478.0,42.24,91.4495,159806,3625497,179175,0,13966.0,44.701,-0.5913
2025-12-01,AMD,16376105.0,7707452.0,47.07,91.9519,318937,7087151,301364,0,40351.0,44.927,0.0448
2025-12-02,AMD,23169438.0,9639733.0,41.61,91.5528,486922,8825444,327367,0,28229.0,44.82,-0.6369
2025-12-03,AMD,15153208.0,6172920.0,40.74,84.2827,746618,5202701,223601,0,41146.0,44.8615,-0.7226
2025-12-04,AMD,13321182.0,5296421.0,39.76,92.6239,244863,4905752,145806,0,25745.0,44.668,-0.8217
2025-12-05,AMD,19204695.0,7479908.0,38.95,91.4272,408136,6838673,233099,0,35924.0,43.911,-0.8966
2025-12-08,AMD,16002875.0,6754080.0,42.21,92.2571,375459,6231119,147502,0,21722.0,44.334,-0.4516
2025-12-09,AMD,14095992.0,5759741.0,40.86,91.0277,291855,5242957,224929,0,17225.0,44.2495,-0.604
2025-12-10,AMD,11113753.0,4287943.0,38.58,91.1088,215733,3906693,165517,0,27250.0,43.474,-0.8743
2025-12-11,AMD,15900742.0,7580897.0,47.68,92.014,369294,6975490,236113,0,28228.0,43.8095,0.3387
