date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-11-10,PYPL,4700057.0,2133552.0,45.39,92.9801,126859,1983779,22914,0,19611.0,44.8655,0.1559
2025-11-11,PYPL,4045531.0,1960005.0,48.45,95.2432,71689,1866771,21545,0,13999.0,45.743,0.5508
2025-11-12,PYPL,3283046.0,1332246.0,40.58,95.4286,45899,1271344,15003,0,5485.0,45.5225,-0.4846
2025-11-13,PYPL,4054364.0,1859220.0,45.86,94.3143,73377,1753511,32332,0,11511.0,45.6555,0.217
2025-11-14,PYPL,9239210.0,4193211.0,45.38,96.2104,96923,4034303,61985,0,21455.0,46.224,0.151
2025-11-17,PYPL,6687460.0,2694278.0,40.29,95.8344,70359,2582046,41873,0,8800.0,46.2115,-0.5335
2025-11-18,PYPL,6691459.0,3257038.0,48.67,95.3225,123453,3104689,28896,0,3700.0,46.457,0.6038
2025-11-19,PYPL,8525200.0,3602501.0,42.26,95.9642,120229,3457111,25161,0,25289.0,46.195,-0.2743
2025-11-20,PYPL,9255872.0,3715605.0,40.14,95.6019,127613,3552189,35803,0,6012.0,45.776,-0.5615
2025-11-21,PYPL,8649853.0,2911740.0,33.66,96.0794,87039,2797581,27120,0,5527.0,44.921,-1.4263
2025-11-24,PYPL,7275003.0,2906378.0,39.95,97.4606,50260,2832572,23546,0,5018.0,44.0865,-0.5518
2025-11-25,PYPL,5076133.0,1970822.0,38.83,96.2996,53477,1897894,19451,0,10422.0,43.696,-0.6859
2025-11-26,PYPL,3292831.0,1413255.0,42.92,97.4379,28124,1377046,8085,0,7536.0,43.457,-0.1179
2025-11-28,PYPL,4323765.0,879840.0,20.35,94.2392,41540,829154,9146,0,0,42.424,-2.9808
2025-12-01,PYPL,4347397.0,1739464.0,40.01,97.5366,30156,1696614,12694,0,120.0,41.9755,-0.3972
2025-12-02,PYPL,4164063.0,1591978.0,38.23,94.0254,72779,1496863,22336,0,5623.0,41.7705,-0.6047
2025-12-03,PYPL,10641258.0,5307713.0,49.88,96.4725,110329,5120482,76902,0,16633.0,41.686,0.957
2025-12-04,PYPL,5721043.0,2365600.0,41.35,96.2583,57714,2277087,30799,0,16069.0,41.596,-0.1597
2025-12-05,PYPL,4405758.0,1626686.0,36.92,96.0389,55752,1562251,8683,0,9067.0,41.3985,-0.753
2025-12-08,PYPL,5145399.0,2166567.0,42.11,96.9718,50161,2100960,15446,0,5608.0,41.0615,-0.0415
2025-12-09,PYPL,5210435.0,2613507.0,50.16,95.5789,91538,2497961,24008,0,26532.0,41.3,1.0564
2025-12-10,PYPL,4976559.0,1876806.0,37.71,96.1878,37855,1805259,33692,0,14611.0,40.763,-0.615
2025-12-11,PYPL,4706561.0,1809526.0,38.45,94.7131,67666,1713859,28001,0,11762.0,40.6565,-0.4943
2025-12-12,PYPL,4001386.0,1759633.0,43.98,95.8542,46574,1686683,26376,0,5773.0,40.5625,0.3317
2025-12-15,PYPL,5128766.0,1941407.0,37.85,95.1537,70997,1847320,23090,0,6964.0,40.186,-0.5587
2025-12-16,PYPL,5322746.0,2306051.0,43.32,94.8714,94663,2187782,23606,0,20168.0,40.3375,0.2208
2025-12-17,PYPL,4824738.0,2295939.0,47.59,96.603,44344,2217947,33648,0,3099.0,40.2835,0.8366
2025-12-18,PYPL,7884230.0,2922488.0,37.07,94.7071,88561,2767805,66122,0,30778.0,40.024,-0.8131
2025-12-19,PYPL,7132162.0,3584381.0,50.26,95.4734,133012,3422129,29240,0,7108.0,40.53,1.218
2025-12-22,PYPL,4856795.0,1850266.0,38.1,96.337,40396,1782490,27380,0,27119.0,40.752,-0.7176
