date,ticker,close,volume,short_interest,avg_daily_volume,days_to_cover,short_volume_ratio,call_volume,put_volume,put_call_volume_ratio,total_options_volume,rsi14,stoch20,dist_ma20,dist_ma50,dist_ma200,roc20,volume_surge,ma50_slope,price_exhaustion_score,options_fear_greed_score,short_pressure_score,trend_score,optix
2026-04-01,SOXL,52.26,121955587.216234,26090951.0,99663945.0,1.0,47.33,,,,,52.24489795918367,70.88915956151034,0.007188698517933245,-0.111946410910858,0.2628816465308814,-0.07700459201695509,1.1928584831408304,0.014442337528011828,44.07716517382429,50.0,47.666666666666664,65.0,47.73472432822093
2026-04-02,SOXL,52.75,104471717.968532,26090951.0,99663945.0,1.0,50.68,,,,,52.29898074745187,73.8733252131547,0.018644575114175055,-0.1003390570530005,0.2699887807626191,-0.03740875912408759,1.024645443007033,0.006205424254696501,46.97958442665958,50.0,42.25,65.0,48.22831299199681
2026-04-06,SOXL,54.81,68780424.293261,26090951.0,99663945.0,1.0,40.07,,,,,51.29509713228493,86.41900121802682,0.05139985229376287,-0.062355658198613995,0.3143018146285319,0.1444978074754646,0.6937997661982022,0.0015557482155150737,58.51582617487953,50.0,58.5,65.0,55.85712177869579
2026-04-07,SOXL,56.55,107326502.190748,26090951.0,99663945.0,1.0,49.45,,,,,51.82982616651418,97.01583434835565,0.0814273693872869,-0.030914761627308995,0.35036875454451044,0.060577644411102805,1.0867705146825712,-0.0034599003357440594,60.26697068427302,50.0,45.5,50.0,53.945136807922864
2026-04-08,SOXL,67.5,111697275.507395,26090951.0,99663945.0,1.0,37.44,,,,,62.541868254558985,100.00000000000001,0.2750885478158205,0.15404342622670586,0.6029865420374321,0.2364901996702693,1.1270455594689943,-0.004666106234748946,80.04022896840166,50.0,60.666666666666664,50.0,65.11810303578075
2026-04-09,SOXL,71.98,79331609.672745,26090951.0,99663945.0,1.0,45.76,,,,,64.92420282279141,100.0,0.3396114047494978,0.22769075428446706,0.6992084681864648,0.28329470493849174,0.8019575086759163,-0.006294723211834885,83.73105070569785,50.0,56.333333333333336,50.0,66.12897281756403
2026-04-10,SOXL,76.39,78863608.312609,26090951.0,99663945.0,1.0,47.58,,,,,71.73351695644689,100.0,0.3879627526686349,0.30011368974273456,0.7922206503046476,0.5192919649960221,0.8081784869499349,-0.006335086502850085,90.07623638196885,50.0,49.833333333333336,50.0,68.00930637188598
2026-04-13,SOXL,80.56,64504596.832893,26090951.0,99663945.0,1.0,50.89,,,,,72.80106012920325,100.0,0.42509663096259476,0.3663917826527947,0.8777241684730679,0.5883280757097793,0.6674389905180006,-0.0052942367391015654,91.77169360372937,50.0,41.16666666666667,50.0,67.47226212167823
2026-04-14,SOXL,85.31,61656971.031067,26090951.0,99663945.0,1.0,52.22,,,,,74.01487577148282,100.00000000000001,0.4680651517367773,0.4355041175460974,0.9746062534213056,0.5889364872415721,0.644025665993924,-0.0012872824559875262,92.78943322858498,50.0,37.91666666666667,50.0,67.44274495286325
2026-04-15,SOXL,85.96,68425440.67195,11883637.0,86701373.0,1.0,50.45,,,,,73.41321243523316,100.00000000000001,0.44080722750205314,0.43640611057452916,0.975737683817615,0.5643312101910827,0.7114332260917887,0.003090879224396881,92.24219199769718,50.0,46.583333333333336,65.0,69.24648639896373
2026-04-16,SOXL,88.37,63777477.343793,11883637.0,86701373.0,1.0,53.43,,,,,85.11586452762923,100.0,0.4397549630570965,0.4633895924964233,1.0164703895801632,0.6358756016290263,0.6671627540024996,0.010573103016630947,95.60436295730413,50.0,34.66666666666667,65.0,68.97196333078686
2026-04-17,SOXL,94.68,67081435.147162,11883637.0,86701373.0,1.0,52.35,,,,,90.02497918401332,100.0,0.4940823733627904,0.5466292043059937,1.1433446635403905,0.7261622607110301,0.7116448538073745,0.024171772161640126,97.50624479600333,50.0,37.91666666666667,65.0,70.3153101582015
2026-04-20,SOXL,95.94,49367793.186372,11883637.0,86701373.0,1.0,48.75,,,,,100.0,100.0,0.4622770919067216,0.5456543173279547,1.1548219587902095,0.8760265936644505,0.5387012091309238,0.038855750369879205,99.56349206349206,50.0,52.0,65.0,73.35357142857143
2026-04-21,SOXL,98.09,65206901.261972,11883637.0,86701373.0,1.0,58.96,,,,,100.0,100.0,0.445412080220444,0.5620023695173066,1.185523275633499,0.8497077126155006,0.7315133292755501,0.049832154177421595,99.4047619047619,50.0,19.5,65.0,68.40714285714286
2026-04-22,SOXL,105.64,58165233.263915,11883637.0,86701373.0,1.0,56.05,,,,,100.0,100.0,0.5006321292100515,0.6602283835561329,1.3327786984887955,0.9221251819505094,0.6651992432071473,0.06338553069171238,100.0,50.0,27.083333333333332,65.0,69.8125
2026-04-23,SOXL,112.77,96510191.018347,11883637.0,86701373.0,1.0,48.96,,,,,100.0,100.0,0.5409211092664328,0.7451685588005894,1.4666945920613865,0.9770336605890602,1.096160963951948,0.07904509992518971,100.0,50.0,50.916666666666664,65.0,73.3875
2026-04-24,SOXL,128.32,83092416.018881,11883637.0,86701373.0,1.0,60.44,,,,,100.0,99.99999999999999,0.6632318440460914,0.9494468566080962,1.7759629986976861,1.6203798243822747,0.9620713827961164,0.10178632404239507,100.0,50.0,13.0,65.0,67.7
2026-04-27,SOXL,123.39,73334615.518471,11883637.0,86701373.0,1.0,56.09,,,,,93.5723598435463,94.37856328392249,0.5235214223978271,0.8408285294854814,1.6418730128143375,1.6472859901308734,0.8621019002919506,0.12527321991559126,96.55122284535926,50.0,27.083333333333332,65.0,68.26055028041168
2026-04-28,SOXL,109.56,94099741.578413,11883637.0,86701373.0,1.0,52.94,,,,,76.42623774817794,76.66956846163414,0.2975354406243709,0.612860486684627,1.325282781000853,1.6971935007385528,1.1367094230733954,0.1470966696049525,85.73426901277048,50.0,35.75,65.0,64.69292105574672
2026-04-29,SOXL,117.97,55503693.389293,11883637.0,86701373.0,1.0,54.62,,,,,77.53562447611066,86.39232185117014,0.34148282920172846,0.7096754558603162,1.4797053865330376,1.4623251930703405,0.7056361997114524,0.1702808956368067,88.36293896277257,50.0,32.5,65.0,65.38832253324766
2026-04-30,SOXL,126.98,58536651.373501,13148457.0,69516013.0,1.0,55.33,,,,,78.70843264101691,98.22680958052138,0.38509533574763277,0.8084403377046572,1.6414187693002167,1.429774205893609,0.7754563375135038,0.19316609966727727,91.61476293633694,50.0,29.25,65.0,66.36414332135163
2026-05-01,SOXL,130.4,40940347.502773,13148457.0,69516013.0,1.0,55.77,,,,,78.52564102564102,100.0,0.36460911378893557,0.8233019102722932,1.6837073853404556,1.4720379146919433,0.5661770805712013,0.21976286472510465,91.9726800976801,50.0,28.166666666666668,65.0,66.36270604395605
2026-05-04,SOXL,127.55,46455721.917226,13148457.0,69516013.0,1.0,58.8,,,,,74.71331617130821,96.1408259986459,0.28584461996763944,0.7538094308334959,1.5982544537503585,1.3271300857507753,0.652523806816087,0.24416046531520008,88.82464665359964,50.0,17.333333333333336,65.0,63.32109099411984
2026-05-05,SOXL,144.16,52130075.362519,13148457.0,69516013.0,1.0,48.2,,,,,78.69256556892132,100.0,0.3918282227543062,0.9404146263328912,1.902075096427163,1.5492484526967285,0.7617559540610344,0.27315008397025076,92.4509191700081,50.0,55.25,65.0,70.64041362650364
2026-05-06,SOXL,165.85,65579223.745759,13148457.0,69516013.0,1.0,57.05,,,,,82.09610604805303,99.99999999999999,0.5286630074612764,1.1753729679248894,2.292860043024587,1.4570370370370371,0.9916984952271317,0.30346725936057495,94.49228048026723,50.0,20.583333333333336,65.0,66.35902621612024
2026-05-07,SOXL,152.1,72375207.155953,13148457.0,69516013.0,1.0,60.01,,,,,72.40518183237084,84.63000223563603,0.35200600891559497,0.9538927555668604,1.9826190375808044,1.1130869686023894,1.1002554465244068,0.32771736164174214,85.528637286843,50.0,13.0,65.0,61.18788677907935
2026-05-08,SOXL,176.94,47016488.841059,13148457.0,69516013.0,1.0,53.51,,,,,76.69390983390456,100.0,0.505526389680669,1.209634275181514,2.419047849085771,1.316271763319806,0.7324808485170661,0.36285749297097847,92.46712825212694,50.0,35.75,65.0,67.72270771345713
2026-05-11,SOXL,190.42,50495958.850195,13148457.0,69516013.0,1.0,55.88,,,,,78.31340079730144,100.0,0.5478783937571123,1.3045010504710177,2.621856291696188,1.3637040714995035,0.7953675266782191,0.4014946182210448,93.46723908821424,50.0,29.25,65.0,67.19775758969641
2026-05-12,SOXL,172.52,91705572.34585,13148457.0,69516013.0,1.0,62.25,,,,,69.28489042675895,82.86425426000385,0.35436742672544064,1.0338391602455888,2.2361749282731056,1.022271714922049,1.4110718458012619,0.4273396983943758,83.39442902883354,50.0,5.416666666666663,65.0,59.0899930629751
2026-05-13,SOXL,184.24,59522250.188992,13148457.0,69516013.0,1.0,55.23,,,,,70.07697061632678,93.9441450269476,0.39265048811552994,1.1070159146946752,2.4057561789870547,1.1433224755700326,0.922184348078219,0.46115721261016174,87.1163900219297,50.0,32.5,65.0,64.82737550986838
2026-05-14,SOXL,186.19,43318951.232575,13148457.0,69516013.0,1.0,56.22,,,,,67.6014356104386,95.58178399832883,0.3572134081225784,1.0680286918294044,2.3919054441913232,1.1069367432386557,0.6819527634440845,0.4909219172274919,85.75612236250932,50.0,23.833333333333332,65.0,62.915255063129194
2026-05-15,SOXL,164.18,62126569.325331,11051498.0,57424215.0,1.0,56.77,,,,,61.23877224885656,72.2269263336156,0.16720756715637997,0.7803040982344434,1.954190080845268,0.7340515420363329,0.9818628890054665,0.5064475554176129,72.37436115355455,50.0,20.583333333333336,65.0,56.405962519099546
2026-05-18,SOXL,151.75,75610474.553845,11051498.0,57424215.0,1.0,58.01,,,,,61.71488865441217,58.11762157478611,0.05785250712786927,0.6092702449908483,1.6997383877891767,0.5817177402543257,1.1706887978413976,0.5191909883552333,64.91844501761702,50.0,17.333333333333336,65.0,52.56330025792766
2026-05-19,SOXL,151.89,85384026.867889,11051498.0,57424215.0,1.0,58.29,,,,,59.87194412107102,54.552960603916006,0.039338720824409146,0.5777697447147983,1.6718524069363672,0.5484758894892443,1.3016816057301592,0.5330012611946957,62.415749990770564,50.0,16.25,65.0,51.27458749584676
2026-05-20,SOXL,173.2,58913172.475366,11051498.0,57424215.0,1.0,52.35,,,,,62.55296034763715,78.70393272322532,0.1583812090771073,0.7558621668474568,2.0075083522604933,0.639530480878455,0.8976210249351823,0.5502327525781949,73.36977882327118,50.0,41.16666666666667,65.0,59.94140047047203
2026-05-21,SOXL,178.39,52278678.064381,11051498.0,57424215.0,1.0,50.94,,,,,62.909560445472636,85.1224338362602,0.1674738219895291,0.7647175205516039,2.0567928778216733,0.5818923472554758,0.824311896864334,0.5643686627957365,74.82545888789353,50.0,46.583333333333336,65.0,61.40895649955209
2026-05-22,SOXL,190.56,45133031.007077,11051498.0,57424215.0,1.0,47.38,,,,,66.14068343665147,100.0,0.22222792344399434,0.8342018584576765,2.2193866000804174,0.48503740648379057,0.733595800816236,0.5783440032328735,81.09866292265492,50.0,57.416666666666664,65.0,65.85689831519471
2026-05-26,SOXL,225.79,52532952.300727,11051498.0,57424215.0,1.0,49.46,,,,,69.08937842009261,100.0,0.4021436733071688,1.1024452017803599,2.7509541849993395,0.8298889699327336,0.8685581887792341,0.6021876902144729,87.3120271447057,50.0,49.833333333333336,65.0,67.51541221511756
