date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-08-26,SLV,6061388.0,3796190.0,62.63,83.1136,573276,3155150,67764,0,10700.0,51.9275,1.1696
2025-08-27,SLV,3907473.0,2237495.0,57.26,96.2488,46533,2153561,37401,0,2586.0,52.739,0.5687
2025-08-28,SLV,7261804.0,5018473.0,69.11,89.7009,473984,4501613,42876,0,5351.0,54.406,1.753
2025-08-29,SLV,9370050.0,5061210.0,54.01,94.2172,187459,4768528,105223,0,0,54.7065,0.1404
2025-09-02,SLV,13293890.0,10060829.0,75.68,96.4352,250536,9702182,108111,0,300.0,55.967,2.2479
2025-09-03,SLV,9095543.0,6150808.0,67.62,95.3389,190131,5864112,96565,0,1.0,56.0805,1.3722
2025-09-04,SLV,14033278.0,8660326.0,61.71,96.4755,248079,8355093,57154,0,43528.0,56.528,0.7662
2025-09-05,SLV,8615038.0,5692810.0,66.08,96.3055,166400,5482488,43922,0,30238.0,57.1695,1.1635
2025-09-08,SLV,10783323.0,5744606.0,53.27,76.3781,1305796,4387621,51189,0,2350.0,57.386,-0.1096
2025-09-09,SLV,8990867.0,4233080.0,47.08,93.3156,202024,3950123,80933,0,7396.0,57.422,-0.7191
2025-09-10,SLV,7990432.0,4199667.0,52.56,96.6296,97996,4058120,43551,0,5934.0,57.901,-0.1607
2025-09-11,SLV,8652743.0,4871498.0,56.3,95.2852,118280,4641815,111403,0,1336.0,58.2325,0.2207
2025-09-12,SLV,7534044.0,4643539.0,61.63,96.31,99245,4472193,72101,0,8.0,59.299,0.7601
2025-09-15,SLV,10903484.0,6677599.0,61.24,93.647,325573,6253372,98654,0,0,59.5705,0.7064
2025-09-16,SLV,10776515.0,5594169.0,51.91,95.036,192828,5316474,84867,0,11746.0,59.135,-0.2715
2025-09-17,SLV,9645100.0,4558393.0,47.26,96.6758,86443,4406862,65088,0,7286.0,58.505,-0.7522
2025-09-18,SLV,6936081.0,3927611.0,56.63,96.9449,73059,3807620,46932,0,17758.0,58.4145,0.2461
